target,model,r2,rmse,mae,mape,n_samples
energy,random_forest,0.5002142680726116,13.122028120331965,7.821316820088937,39.62325074291772,47
energy,catboost,0.4270324765908895,14.049926116682702,6.821573603488437,22.61119861788223,47
energy,svr,-0.20352449034764386,20.362753472196253,11.267913179911764,36.15318236240414,47
energy,xgboost,-0.48827356031239133,22.64385788485835,12.688195280731893,80.18974435737834,47
energy,linear_regression,-928.1443958244317,565.7839758755525,297.9545129715588,854.0992768791369,47
roughness,xgboost,0.8360994792369806,0.11370992235785726,0.07411514487916772,12.421809478995005,165
roughness,catboost,0.811382506175836,0.1219829638436199,0.07776026746162941,12.599033916956618,165
roughness,random_forest,0.780283999984779,0.13165550954237337,0.0854976565656566,14.797759240608965,165
roughness,svr,0.5474691067699806,0.18894365517872638,0.13991350830533295,25.70436625017432,165
roughness,linear_regression,-1.104299703927531,0.4074384333926852,0.29638435141104513,51.55106863296304,165
time,catboost,0.9942974434145427,1.1763441606236336,0.7334239609407939,6.634825643596459,43
time,xgboost,0.9694307882058629,2.7235899296923605,0.7831651901865834,2.003589077418113,43
time,random_forest,0.9341052383514888,3.998757291414719,1.8791803033137366,11.879211452274946,43
time,linear_regression,0.8953154699532779,5.040119727140505,3.860095950104012,33.40744590370996,43
time,svr,0.31181639111450377,12.922655342249495,10.453986487504357,79.8294253832362,43
