feed_rate,depth_of_cut,spindle_speed,tool_condition
0.09273158696272776,0.31783216609833503,10532.324152649628,0.053
0.09287741156107121,0.29709359725231316,10629.06935129661,0.053
0.09265775612906621,0.2508793203536046,10798.72821128459,0.053
0.09233925587413355,0.2559033479026338,10559.122872179032,0.053
0.09306923049170074,0.3083329722554263,11082.318714686444,0.053
0.09475548410028033,0.30071603242262107,10614.180164319041,0.053
0.09142941830749064,0.2500095145496913,11109.059434645982,0.053
0.09337336645298057,0.2738806909878045,10654.598910387498,0.053
0.09189550839358031,0.2646763869431187,11080.699334832654,0.053
0.09335456585307651,0.34424038465632584,10815.044920679975,0.053
0.08885781618179704,0.27046695806230603,10913.942693589841,0.053
0.09134319090628452,0.2828010114371121,11084.263688798115,0.053
0.09287741156107121,0.31773760720455824,10562.244635023839,0.053
0.09330849872390554,0.2695937182240404,11269.162031769429,0.053
0.09265695921738566,0.25554741257189106,11086.67398994881,0.053
0.09454012719081123,0.30909062596825637,11084.141119947528,0.053
0.0928395710756804,0.2678963411447337,11252.392312825928,0.053
0.09189550839358031,0.2842339130331325,11479.764398992545,0.053
0.09399820094579155,0.2555437211195148,11131.959876121779,0.053
0.09330849872390554,0.25971815118402825,11315.089297979192,0.053
0.09492142892028188,0.284468889624025,10967.737344263925,0.053
0.0885183350013629,0.2856772660622056,11017.862414166113,0.053
0.09272680613918446,0.31783216609833503,10944.972575934715,0.053
0.09190912525498199,0.3357758311678616,11103.07345362641,0.053
0.09143790265140773,0.2700576114437666,11033.58443973179,0.053
0.09189550839358031,0.25133413048973846,11413.743687377719,0.053
0.09287741156107121,0.31773760720455824,10565.40367297948,0.053
0.09352592723787037,0.2854174608696106,10989.760861471214,0.053
0.09363146643091741,0.3443467739063373,10459.31536787446,0.053
0.09142941830749064,0.3169952131026432,11109.059434645982,0.053
0.09296022098867761,0.2886639830659071,10449.038777809901,0.053
0.09139731958934114,0.2620178053985009,11063.98116721298,0.053
0.09195703940641986,0.2800312638803559,11082.37595935532,0.053
0.0930727047796301,0.25871632086202945,11187.378755599622,0.053
0.09254292405419846,0.26416231411221425,10599.064040416562,0.053
0.09270241676757393,0.2560887801837229,11142.436109450005,0.053
0.09356448589817902,0.2727246221332216,10837.717025086742,0.053
0.09282314487403867,0.2796595390130205,11016.759052577696,0.053
0.092531968520804,0.317005658427141,10467.301195068532,0.053
0.09054485014137684,0.3270252960156996,11033.58443973179,0.053
0.09482936431958185,0.28306614441495676,10521.223182456717,0.053
0.092430296081795,0.33219914152228736,11219.295473766835,0.053
0.09330849872390554,0.3072600521994462,11269.162031769429,0.053
0.09306271901767539,0.28409001988266225,10984.12300255917,0.053
0.092531968520804,0.25143682719245614,10467.301195068532,0.053
0.093849493985268,0.3428331190334222,10944.54363479524,0.053
0.09270241676757393,0.3081284167003834,11100.428761513112,0.053
0.0930237236278125,0.29201296130673476,11399.82019040342,0.053
0.09288197759811695,0.316500278481691,11034.914257305903,0.053
0.09141907894745402,0.3268647391005536,11033.58443973179,0.053
0.09330849872390554,0.2858957264889889,10985.439128839442,0.053
0.09230770246952211,0.3124284413154796,10597.81606957511,0.053
0.09265719704500387,0.28027777142030674,10818.343812149464,0.053
0.09270241676757393,0.25554741257189106,11086.67398994881,0.053
0.09087593408438563,0.336909161027544,10815.044920679975,0.053
0.09392463026901746,0.3218304328510107,11154.546414576787,0.053
0.09359689750633354,0.28406643760943695,10602.576544534078,0.053
0.0938090823229298,0.27156032192876595,10654.598910387498,0.053
0.09200914773250486,0.3251960816674209,11252.027546724954,0.053
0.09236292517623286,0.2609904753125267,11205.128937588534,0.053
0.09234707752378801,0.2768150193556842,10559.122872179032,0.053
0.09139523135661837,0.2620178053985009,11063.98116721298,0.053
0.09065976651495658,0.31355048895887355,10844.680414501629,0.053
0.09334645191294925,0.3410658982032049,10449.038777809901,0.053
0.09192844524771723,0.29201296130673476,11400.351587173069,0.053
0.09307253393990253,0.3512621250070848,11121.528306370232,0.053
0.09457922777601366,0.27946473697574686,11080.737214172497,0.053
0.09273158696272776,0.3281133425316467,10566.596889959055,0.053
0.09498814751982942,0.3219406700866416,11342.198463173132,0.053
0.09405795832951713,0.30234975538334596,11169.409033550659,0.053
0.09284699024360682,0.2840869433433631,10892.932499137256,0.053
0.09454012719081123,0.3129164677807432,11084.141119947528,0.053
0.092531968520804,0.3077207366162683,10467.301195068532,0.053
0.09234529554950151,0.2609904753125267,11322.877315188258,0.053
0.09090718479502036,0.25367588591907614,11203.657286471293,0.053
0.09142941830749064,0.25009901050117556,11109.059434645982,0.053
0.09071765985445228,0.306905679079617,11042.774334260454,0.053
0.0929409814830604,0.3379304609290243,10865.06416470808,0.053
0.09284688486835276,0.28370366052326484,10920.893123073613,0.053
0.09152127532432651,0.27046695806230603,11458.321909633129,0.053
0.092531968520804,0.2846936386306077,10619.305092021557,0.053
0.09470481932778126,0.3360683779015671,11268.730594181987,0.053
0.09265412987745004,0.3176178940662989,11334.411966787815,0.053
0.09189550839358031,0.25009901050117556,11374.600804284808,0.053
0.09137589353679948,0.3268647391005536,11034.792788352794,0.053
0.09457876466404537,0.32271931318018066,10838.586841416505,0.053
0.09330849872390554,0.3026135731897285,11248.504462159735,0.053
0.09189550839358031,0.2500263306736821,11116.070732870005,0.053
0.09330849872390554,0.28605465427596005,10974.415693472702,0.053
0.09265719704500387,0.27977560770256626,10793.451732892914,0.053
0.09088218515098259,0.2901293671374758,11034.174445283796,0.053
0.09245020830738485,0.3114438562070554,10969.6474107824,0.053
0.09273033800373669,0.2612197700882654,11179.295169871408,0.053
0.09246740150480583,0.28031384519313457,10605.32843926924,0.053
0.09223770678720727,0.33504312606506137,10808.780521827295,0.053
0.08986311883599582,0.27818392471820097,10912.48078908505,0.053
0.09306923049170074,0.2557331354649369,11082.318714686444,0.053
0.09219326990373153,0.27844779404073067,10599.064040416562,0.053
0.09189392301285078,0.3428331190334222,10944.54363479524,0.053
0.09284741226198817,0.27046695806230603,11458.321909633129,0.053
