Feature,Energy Rank,Energy SHAP,Roughness Rank,Roughness SHAP,Time Rank,Time SHAP,Avg Rank
TCond,999,0.0,5,0.02376263546107584,1,11.136182453041465,335.0
Tool_ID,999,0.0,2,0.08523758943610586,5,0.578271916522937,335.3333333333333
Init_diameter,999,0.0,4,0.025014497190138388,4,1.1466879915250445,335.6666666666667
Position,999,0.0,3,0.040886428669146754,6,0.060064317431743654,336.0
ap,999,0.0,7,0.019811688354235746,3,1.1513761653884234,336.3333333333333
Final_diameter,999,0.0,9,0.012965082700874642,2,1.402139680513196,336.6666666666667
f,999,0.0,1,0.09899496167371595,10,0.0,336.6666666666667
R_measurement,999,0.0,12,0.006849992745472448,7,0.04555463837779384,339.3333333333333
Machined_length,999,0.0,14,0.004905683797954794,8,0.0,340.3333333333333
vc,999,0.0,15,0.0,9,0.0,341.0
Exp,999,0.0,16,0.0,11,0.0,342.0
time_s,1,5.662383169623418,999,0.0,999,0.0,666.3333333333334
delta_Y,2,2.5409772399982433,999,0.0,999,0.0,666.6666666666666
delta_xy,3,2.1185580118397653,999,0.0,999,0.0,667.0
delta_X,4,2.1024094443572747,999,0.0,999,0.0,667.3333333333334
delta_Z,5,2.0347016560740676,999,0.0,999,0.0,667.6666666666666
Fz,999,0.0,6,0.021630929846629756,999,0.0,668.0
F_val,6,1.3565296953872175,999,0.0,999,0.0,668.0
cutting_speed_vc,7,1.2306835917442078,999,0.0,999,0.0,668.3333333333334
S,8,0.8060466685483162,999,0.0,999,0.0,668.6666666666666
Fx,999,0.0,8,0.0168161394810781,999,0.0,668.6666666666666
Material,9,0.30539441747159607,999,0.0,999,0.0,669.0
Fy,999,0.0,10,0.008799435868054359,999,0.0,669.3333333333334
delta_S,10,0.16013827557261137,999,0.0,999,0.0,669.3333333333334
Commands,11,0.0,999,0.0,999,0.0,669.6666666666666
F,999,0.0,11,0.007322516505672664,999,0.0,669.6666666666666
D_W,12,0.0,999,0.0,999,0.0,670.0
Toolchange,13,0.0,999,0.0,999,0.0,670.3333333333334
Condition,999,0.0,13,0.006445014230080471,999,0.0,670.3333333333334
TurnOp,14,0.0,999,0.0,999,0.0,670.6666666666666
